$PACKAGES
TCON_5x4mm!TCON_5x4mm! TCON_5x4MM; B1
+12V_OUT;  C1.1 C2.1 U16.7 U16.8,
     U16.5 U16.6 J8.1 R49.2
CHF_7441_Y1;  U11.39 U29.T7
IPC_LAN_TX2-;  J29.5 U46.16
P0LED2;  U35.91 R181.2
+12V_IN;  J1.1 U16.3 U16.1 U16.2,
     R43.1
TX1_DVI_D0P;  U11.116 U5.31
CHF_7441_Y5;  U11.43 U29.T8
IPC_LAN_TX2+;  J29.4 U46.17
P5MDID_N;  U35.43 C646.1 R320.2
SATA_LED_N0;  J16.156 D35.2
N75645095;  U16.4 R32.2
CHF_7441_Y0;  U11.38 U29.R8
P4MDID_N;  U35.33
SATA_RXP0;  J16.163 C524.1
N75645561;  U18.1 R47.2
I2C2_SCL;  U11.12
CHF_7441_Y7;  U29.T9 U11.45
IPC_LAN_TX0+;  J29.1 U46.23
USB2_PWREN1;  J16.172
CHF_7441_C2;  U11.28 U29.T12
CHF_7441_C1;  U11.27 U29.R12
CHF_7441_VCLK;  U29.M16 U11.51
-5V;  C84.1 C83.1 C36.1 C34.1,
     C35.1 U8.13 U8.9 U8.8,
     U14.5
TX1_DVI_CLKN;  U11.112 U5.27
PHY_TDMS_TX2N;  J16.43 U54.2 U54.8 J3.3
N74642262;  FB7.1 R14.2
N74646485;  U11.77 C41.2
CHF_7441_VP2;  U11.54 U29.T4
VO_Y3;  J14.118 J16.86
IPC_LAN_TX3-;  J29.8 U46.13
N74642292;  R15.1 U8.12
CHF_7441_Y3;  U11.41 U29.T6
PHY_TDMS_TCKP;  J16.50 U51.4 U51.7 J3.10
CHF_7441_Y4;  U11.42 U29.R6
N74642260;  FB9.1 R15.2
TX1_DVI_D0N;  U11.115 U5.30
IPC_LAN_TX0-;  J29.2 U46.22
N74642266;  R14.1 U8.14
CHF_7441_C5;  U29.R10 U11.31
VO_C0;  J14.119 J16.77
IPC_LAN_TRD0N;  U35.46 U46.3
CHF_LAN_LED0;  R123.1 J11.192
N62400057;  R120.1 U29.K12
CHF_7441_VP1;  U29.R5 U11.53
IPC_LAN_TRD1P;  U35.47 U46.5
N74642252;  FB10.1 R16.2
N62404566;  R121.1 U29.L13
VO_Y7;  J14.137 J16.78
IPC_LAN_TRD2P;  U35.50 U46.8
CHF_LAN_LED1;  R122.1 J11.190
N74642286;  R16.1 U8.10
IPC_LAN_TRD3P;  U35.52 U46.11
PHY_TDMS_TX1P;  J16.45 U54.4 U54.7 J3.4
N75156401;  D25.1 R122.2
N74647358;  U11.106 R124.2
IPC_LAN_TRD2N;  U35.51 U46.9
N75156399;  D26.2 R123.2
VO_Y5;  J14.124 J16.85
IPC_LAN_TRD3N;  U35.53 U46.12
VO_C6;  J14.125 J16.74
CHG_LAN_TX1-;  J14.183 R330.2 C669.2
IPC_LAN_TRD1N;  U35.48 U46.6
CHG_LAN_TX1+;  J14.185 R330.1 C671.2
IPC_LAN_TRD0P;  U35.45 U46.2
CVBS_OUT;  J16.24
VO_C5;  J14.114 J16.88
VO_Y0;  J14.129 J16.103
VO_C1;  J14.117 J16.72
TX1_DVI_DDCDATA;  R40.2 R124.1 U5.16
CHF_LAN_TX1-;  J11.183 R322.2 C654.2
CHF_LAN_TX0-;  J11.189 R321.2 C658.2
VGA_B;  J16.28
CHF_LAN_TX1+;  J11.185 R322.1 C656.2
I2S2_D_TX;  J14.47 J16.83
CHF_LAN_TX0+;  J11.191 R321.1 C660.2
+1.2V;  U29.K7 C335.1 C334.1 C333.1,
     C330.1 C329.1 C328.1 U29.G10,
     U29.G8 U29.G7 U29.G6 FB26.1,
     C307.1 FB27.1 C326.1 C327.1,
     C331.1 C332.1 U29.H6 U29.H11,
     U29.G9 FB60.2 FB61.2 C567.2,
     C565.1 C566.1
N74646464;  U11.81 C39.2
VO_Y1;  J14.131 J16.92
VO_C7;  J14.123 J16.71
N60853195;  D28.1 R145.2
VO_Y2;  J14.120 J16.91
N74646458;  R26.2 C40.1 R28.2
PHY_TDMS_TCKN;  J16.51 U51.5 U51.6 J3.12
TX1_DVI_DDCCLK;  R37.2 R125.1 U5.15
PHY_HDMI_CEC;  J16.65 R233.1 J3.13
CHF_7441_C0;  U11.26 U29.T13
VGA_G;  J16.26
N74646395;  U11.75 C42.2
N60853189;  D29.2 R146.2
PHY_HDMI_DDC_SDA;  J16.69 U53.5 U53.6 R231.1,
     J3.16
N74646456;  U11.79 C40.2
+2.5V;  C314.1 FB28.1 U29.L5 U29.F12,
     C316.1 C315.1 C317.1 J13.4,
     R140.2 R139.2
PHY_TDMS_TX0P;  J16.48 U51.1 U51.9 J3.7
VO_Y4;  J14.126 J16.75
CHG_LAN_TX0-;  J14.189 R329.2 C673.2
CHG_LAN_TX0+;  J14.191 R329.1 C675.2
PHY_TDMS_TX2P;  J16.42 U54.1 U54.9 J3.1
VO_C3;  J14.108 J16.94
TX1_DVI_D1N;  U11.118 U5.33
N63282358;  U45.21 R219.2
VO_CLK;  J14.141 J16.101
N63282340;  R220.1 R218.1 R217.1 R219.1,
     C473.2
N74646409;  R24.2 C42.1 C41.1 R29.2
N63282356;  U45.18 R218.2
PHY_TDMS_TX0N;  J16.49 U51.2 U51.8 J3.9
+3.3V_DVDDIO;  U35.77 R187.1 R188.1 R193.1,
     R192.1 R185.1 R184.1 R182.1,
     R186.1 R189.1 R183.1 R181.1,
     C440.1 C439.1 FB38.2
N63282344;  R217.2 U45.15
I2S2_FS_TX;  J14.25 J16.82
LAN1_LED_LINK;  J16.110
VO_C2;  J14.106 J16.95
N70097932;  J27.2 FB68.2 C627.2 C628.2,
     J28.2
CHF+1.8V_SDIO;  J11.82
VO_Y6;  J14.135 J16.80
I2C2_SDA;  U11.11
VGA_VS;  J16.37
N70098714;  R286.1 C583.2
PHY_TDMS_TX1N;  J16.46 U54.5 U54.6 J3.6
CHG+1.8V_SDIO;  J14.82
LAN1_LED_ACT;  J16.111
PHY_HDMI_HPD;  J16.66 U53.2 U53.8 R234.1,
     C487.2 J3.19
TX1_DVI_D2P;  U11.122 U5.37
CHF_FPGA_LED_STATUS;  U29.A2 D27.2
PHY_HDMI_DDC_SCL;  J16.68 U53.4 U53.7 R230.1,
     J3.15
+5V_TEST;  C585.1 L8.2 C586.1 R284.2,
     R283.2 B1.1 C588.2 C584.1,
     C587.1
VO_C4;  J14.112 J16.89
N74647384;  U11.105 R125.2
VGA_HS;  J16.35
N64469832;  U53.1 U53.9
VGA_R;  J16.30
N74646276;  R27.2 C39.1 R25.2 C43.1
I2S2_MCLK;  J16.99
TX1_DVI_CLKP;  U11.113 U5.28
N70097934;  J27.1 C627.1 C628.1 J28.1,
     FB69.2
AC0_MICBIAS2;  J16.21
AC0_LINEIN_R;  J16.32 C502.2 R238.2 R235.2
GPIO8_4;  J16.107
N74647245;  U11.93 C43.2
N70098660;  C573.2 U67.2 C583.1 R287.2,
     R284.1 C581.1
CHF_FPGA_TMS;  R139.1 J13.5 U29.J5
CHF_FPGA_DATA0;  U29.H2 R136.1
GPIO0_0;  J16.205
CHF_FPGA_CONFIGN;  R131.2 R134.1 U29.H5
N74646325;  U11.124 R42.2
CHF_FPGA_TDI;  U29.H4 J13.9 R140.1
CHF_FPGA_TCK;  U29.H3 J13.1 R138.1
UART1_TXD;  J16.2 U25.11
TX1_DVI_D1P;  U11.119 U5.34
CHF_FPGA_DCLK;  R135.1 U29.H1
CHF_FPGA_TDO;  J13.3 U29.J4
N65423906;  R243.1 C504.2 U56.13
CHF_FPGA_CEN;  U29.J3 R137.1
N74646717;  U11.13 R34.2
TX1_DVI_D2N;  U11.121 U5.36
CHF_DDC_DA;  R120.2
N65423996;  R241.1 C505.2
CHF_DDC_CL;  R121.2
N65423928;  C513.2 U56.8
N70098682;  U67.1 R285.2
XTALOUT;  U35.97 Y8.1 R202.2 C408.1
N70099105;  C582.2 U67.8
HI3536_LAN_TX3-;  R316.2 C645.2 J16.113
XTALIN;  U35.98 Y8.2 R202.1 C407.1
LAN0_TRD3N;  J16.127 U45.12
N65423902;  R252.1 R253.2 R248.2
LAN0_TRD0P;  J16.137 U45.2
N70098043;  FB69.1 C626.1 J26.4 FB67.1,
     C625.2 J26.2 FB66.1 FB65.1
CHF_DVI_HPD;  U29.P9 R38.1
LAN0_TRD3P;  J16.128 U45.11
N70098680;  C573.1 R283.1
LAN0_TRD2N;  J16.130 U45.9
N70099103;  C595.1 U67.6
HI3536_LAN_TX2-;  R315.2 C649.2 J16.116
LAN0_TRD2P;  J16.131 U45.8
UART3_RXD;  J16.184 U13.2
LAN0_TRD1N;  J16.133 U45.6
N65423948;  U56.2 R242.2 C503.1
N70098710;  U68.4 U67.10
LAN0_TRD1P;  J16.134 U45.5
GPIO0_2;  J16.207
N70098643;  U68.3 U69.7 U68.2 U69.6,
     U68.1 U69.5 U69.8 U67.9,
     L8.1 C582.1
LAN0_TRD0N;  J16.136 U45.3
N65423934;  C513.1 U56.7
N70098708;  U69.4 U67.7
HI3536_LAN_TX3+;  R316.1 C647.2 J16.114
N65423992;  R248.1 U56.11
CHF_CPU_XTALIN;  J11.37
HI3536_LAN_TX2+;  R315.1 C651.2 J16.117
N70098698;  U67.3 C581.2 R286.2
N70051264;  U44.7 R212.2 R211.1
AC0_MICR;  J16.40
N65423954;  C503.2 R245.2 R249.2 R239.2,
     U56.3
AC0_LINEOUT_L;  C505.1 R247.2 J7.5
VGA_IN_B;  U10.6 J2.C3 U8.5 R28.1
UART3_TXD;  J16.187 U13.5
N74633251;  R21.1 J2.8
VGA_IN_HSYNC;  U29.P1 U11.63 R20.2 D1.1
N74633249;  R20.1 J2.C4
P2MDIB_N;  U35.127 C669.1 R326.2
LAN0_LED_LINK;  J16.139 R215.1
MUTE_CTL;  C514.2 U56.5 R254.1 R255.2
VGA_OUT_HSYNC;  J2.TC4 FB8.2
LAN0_LED_ACT;  J16.140 R216.1
DVI_IN_TMDSD0P;  U5.50 U4.9 U4.1 J2.18
N75465820;  J3.18 R232.1
N65423990;  U56.6 C511.2
DVI_IN_TMDSCLKP;  U4.4 U4.7 U5.47 J2.23
DVI_IN_DDCDATA;  U5.18 R22.2 J2.7 U12.6,
     U12.5
DVI_IN_TMDSCLKN;  U4.6 U4.5 J2.24 U5.46
AC0_MICL;  J16.39
VGA_OUT_B;  J2.TC3 FB9.2
N74650495;  R44.1 U14.7
TX0_DVI_D2N;  U5.78 J2.T1 U1.2 U1.8
CHG_VI_C5;  J14.41
GPIO0_4;  J16.202 R255.1
N74650485;  U14.2 C87.1
DVI_IN_TMDSD2N;  J2.1 U5.57 U3.2 U3.8
UART1_RTSN;  J16.4
N74650493;  U14.4 C87.2
VGA_OUT_G;  J2.TC2 FB10.2
HDCP_SDA;  R7.2 U6.5 U5.10
CHG_SD0/GP2_7;  J14.168
DVI_IN_TMDSD2P;  U3.9 U3.1 U5.58 J2.2
+1.8V;  FB4.1 FB3.1 FB5.1
AC0_LINEOUT_N;  J16.16
AC0_LINEOUT_R_60042742;  J16.19
N74655311;  U5.22 R6.2
VGA_IN_VSYNC;  U29.P2 D2.1 R21.2 U11.62
CHG_SD0/GP1_1;  J14.160
GPIO0_3;  J16.204
AC0_LINEOUT_L_60042736;  J16.22
+3.3V_86102_VCCA;  FB2.1 C28.1 C22.1 C21.1,
     C19.1 C20.1 U5.48 U5.52,
     U5.59
TX0_DVI_D2P;  U5.79 U1.9 U1.1 J2.T2
CHG_VI_C2;  J14.28 R160.2
UART1_RXD;  J16.5 U25.12
GPIO_I2C_SDA;  U5.8 R5.2 R2.2
TX0_DVI_D1N;  U5.75 U1.6 U1.5 J2.T9
TX0_DVI_D1P;  J2.T10 U5.76 U1.7 U1.4
+12V;  C537.1 J23.4 C533.1 C534.2,
     FB11.1 C569.2 C568.1 U65.2,
     R276.1 C622.1 C620.1 D38.2,
     FB64.2 C623.2 C621.1 C580.2,
     U68.5 C578.1 C576.1 U68.8,
     U68.7 U68.6 U67.4 R285.1,
     C593.1 C572.2 C577.1 C579.2,
     C560.2 C559.1 U66.2 R275.1,
     C574.1 C575.1 C603.2 U71.5,
     C601.1 C600.1 U71.8 U71.7,
     U71.6 U70.4 R290.1 C619.1,
     C596.2 C597.1 C602.2 C604.1,
     C598.1 C624.2 FB63.2 FB62.2
+5V_DVI_IN;  R19.2 J2.14 R22.1 R23.1
N74655427;  U5.45 R1.1
+1.8V_86102_VCCP;  C32.1 U5.42 C26.1 FB5.2
DVI_IN_TMDSD1N;  J2.9 U5.53 U3.6 U3.5
CHG_SD0/GP2_3/I2S_D_TX;  J14.172
N63389191;  J17.12 R216.2
SYS_RSTN;  U11.21 J16.154
TX0_HPD;  U5.65 R12.1 J2.T16
CHG_SPI1_MOSI/I2C1_SDA;  J14.89
+1.8V_86102_VCCA;  C25.1 C24.1 C23.1 U5.56,
     U5.44 FB4.2
DVI_IN_TMDSD1P;  J2.10 U3.4 U3.7 U5.54
RESETN;  U35.99 R163.2 C367.1
DVI_IN_TMDSD0N;  J2.17 U5.49 U4.8 U4.2
N75217531;  U7.2 FB2.2 U7.4 FB1.2,
     C29.1
TX0_DVI_CLKN;  J2.T24 U5.69 U2.5 U2.6
CHG_LAN_LED0;  J14.192 R146.1
N63392304;  J17.9 R215.2
VGA_OUT_R;  J2.TC1 FB7.2
TX0_DVI_CLKP;  J2.T23 U5.70 U2.4 U2.7
CHG_AC_LINEL;  J14.165
I2C_SCL;  J16.106 R214.1 U61.2 U39.23
TX0_DVI_D0P;  J2.T18 U2.1 U2.9 U5.73
CHG_SPI0/GP8_3;  J14.39
CHF_SD0/GP2_6/I2S_D_RX;  J11.166
N74656102;  R9.2 U6.7
DVI_IN_DDCCLK;  U12.7 U12.4 U5.17 R23.2,
     J2.6
CHG_VI_C0;  J14.66
TX0_DVI_D0N;  J2.T17 U2.2 U2.8 U5.72
CHF_SD0/GP2_2/I2S_FS_TX;  J11.78
+3.3V_86102_VCC;  U5.12 U5.3 U5.64 U5.74,
     C27.1 FB1.1 C10.1 C12.1,
     C11.1 C13.1 U5.32
CHF_SD0/GP2_1/I2S_BCLK_TX;  J11.162
GPIO_I2C_SCL;  U5.7 R3.2 R4.2
DVI_IN_HPD;  Q2.3 R19.1 J2.16
AC0_LINEOUT_P;  J16.15
VGA_IN_R;  U10.3 J2.C1 R25.1 U8.3
+1.8V_86102_VCC;  C18.1 C17.1 C15.1 C16.1,
     C14.1 FB3.2 U5.20 U5.2,
     U5.67 U5.40 U5.25
AC0_MICBIAS1;  J16.18
VGA_IN_G;  U10.1 R29.1 J2.C2 U8.7
CHG_VO_Y6;  J14.69
N74633268;  R10.1 J2.T14
CHG_UART1_RTSN;  J14.136
N65423978;  R239.1 C507.2 R241.2 R242.1
HDCP_SCL;  U5.9 R8.2 U6.6
VGA_OUT_VSYNC;  J2.T8 FB6.2
CHG_AC_LINER;  J14.167
CHG_SD0/GP2_0/I2S_MCLK;  J14.174
CHG_UART1_RXD;  J14.147
P06;  RN4.6 U39.10
CHG_SD0/GP2_4/I2S_BCLK_RX;  J14.86
UART1_CTSN;  J16.1
AC0_LINEOUT_R;  R250.2 C506.2 J7.4
P10;  U39.13 RN2.8
CHG_VI_C3;  J14.26 R161.2
GPIO0_1;  J16.210
N75652379;  RN2.3 J22.6
CHG_AC_OUTL;  J14.148
N75652387;  J22.5 RN2.2
CHG_VI_CLK;  J14.90
RS422_RXN;  J5.6 D3.2 R11.2 U13.11
N75652385;  RN3.3 J22.9
N60731007;  R128.1 D27.1
CHG_MIPI0/VI_VSYNC;  J14.111
RS422_TXP;  J5.1 U13.9 D4.2
N75652407;  RN4.4 J22.14
N68327464;  J11.3 J11.4 J11.5 J11.6,
     J11.1 J11.2 C245.2 FB22.1,
     C246.1
AC0_LINEIN_L;  J16.33 C501.2 R237.2 R236.2
RS422_TXN;  J5.2 D4.1 U13.10
N75652342;  FB45.1 R177.2 J22.2 C365.1,
     C364.1
N68327460;  J11.13 J11.11 J11.12 C252.1,
     FB23.1 C249.1 J11.14 J11.15,
     J11.16
N68851589;  U27.4 U27.2 R112.2 FB25.2,
     C276.1
CHG_SPI0/GP8_2;  J14.57
N75561716;  J5.5 FB12.2
N75652377;  J22.13 RN4.3
N69588759;  C571.2 U65.6
+1.8V_7441_DVDD;  U11.57 U11.23 U11.142 C260.1,
     C259.1 C261.1 C262.1 R113.1,
     C278.1
I2C_SDA;  J16.105 R213.1 U61.13 U39.22
P11;  U39.14 RN2.7
N69588825;  R278.1 U65.5 R279.2
+1.8V_7441_AVDD;  C270.1 C263.1 C265.1 C264.1,
     C266.1 C268.1 C267.1 C269.1,
     U11.84 U11.88 U11.104 R112.1,
     C275.1 U11.109 U11.125 U11.141
AUDIO_OUTR;  FB54.2
N75652284;  U39.2 R176.2
RS422_RXP;  J5.3 D3.1 U13.12 R11.1
N69588747;  C571.1 R282.2
+1.8V_7441_PVDD;  C306.2 C305.2 C279.1 FB25.1,
     C354.1 C310.1 C296.1 C294.1,
     C293.1 C295.1 U11.71 U11.101,
     U11.68
AUDIO_OUTL;  FB55.2
N75561708;  J5.12 R30.2
N75652173;  R180.2 J22.3 R177.1
N69588833;  U65.7 R276.2
N68851659;  U28.4 U28.2 R113.2 C281.1
P12;  U39.15 RN2.6
N75561660;  J5.10 R31.2
N69588793;  U65.3 C550.1 L6.1
P3MDID_N;  U35.14
AUDIO_IN_L;  R236.1 D31.1 J7.2
N75652395;  RN2.1 J22.4
N69588920;  U65.8 C552.1
+5V_AUDIO;  R256.2 C515.1 U56.9 R252.2,
     C512.1
AUDIO_IN_R;  R235.1 D32.1 J7.1
P03;  RN3.5 U39.7
N69588765;  C550.2 U65.1
N75561724;  J5.4 FB11.2
N70312570;  U71.3 U72.7 U71.2 U72.6,
     U71.1 U72.5 U72.8 U70.9,
     L9.1 C606.1
CHF_7441_VSYNC;  U11.18 U29.R13
+3.3V;  C344.1 C346.1 C347.1 C345.1,
     U29.M14 U29.C10 U29.C7 U29.C4,
     U29.A1 U29.C13 U29.A16 U29.E14,
     U29.G14 U29.K14 U29.T16 R9.1,
     R131.1 C343.1 C342.1 C341.1,
     C288.1 C292.1 C291.1 C290.1,
     C289.1 C287.1 C286.1 U29.G3,
     U29.M3 U29.P7 U29.P4 U29.K3,
     C323.1 C322.1 C321.1 C325.1,
     C324.1 C320.1 C319.1 R117.1,
     C283.1 U28.3 C282.1 C284.1,
     U11.15 U11.35 U11.50 U11.67,
     U11.111 U11.123 U11.127 U11.139,
     D26.1 R119.1 C318.1 R34.1,
     FB33.2 R39.2 U29.E3 R128.2,
     C285.1 U6.8 C9.1 C339.1,
     C338.1 C337.1 C336.1 C340.1,
     C253.1 R40.1 R37.1 R129.1,
     C277.1 U27.3 C280.1 U29.T1,
     U29.P13 U29.P10 R130.1 R8.1,
     R7.1 U10.5 FB23.2 C250.1,
     R2.1 R3.1 D29.1 R162.1,
     R161.1 C359.1 FB29.2 C356.1,
     R163.1 C441.1 FB39.1 U44.1,
     C455.1 U44.2 U44.3 C438.1,
     FB38.1 J29.10 R213.2 R214.2,
     J17.10 FB41.1 C457.1 FB40.1,
     C459.1 C458.1 R233.2 R254.2,
     R257.2 R31.1 R30.1 U25.16,
     C219.1 U13.4 U13.14 C6.2,
     U13.13 R262.1 J24.1 R197.2,
     R195.2 R196.2 R198.1 R199.2,
     D36.1 C615.1 C614.1 C616.2,
     C617.2 C613.1 B2.2 R33.2,
     U17.4 C3.1 U17.2 J15.3,
     C7.1 U19.28 C8.1 R52.1,
     R51.1
CHG_PWM/TEMP/GP0_3;  J14.72
P07;  RN4.5 U39.11
N70312584;  C599.2 U70.2 C607.1 R292.2,
     R289.1 C605.1
P01;  RN3.7 U39.5
N70312634;  U71.4 U70.10
P05;  RN4.7 U39.9
N70312632;  U72.4 U70.7
N70143371;  R281.2 C570.1
CHG_SYS_RSTN;  J14.31
P0MDIA_N;  U35.104
P13;  U39.16
N70143373;  C551.2 U66.1
N70312622;  U70.3 C605.2 R291.2
CHG_SD0_VOUT;  J14.83
P0MDIB_N;  U35.106
N75652269;  U39.3 R178.2
N70312638;  R291.1 C607.2
N70143388;  C570.2 U66.6
CHG_USB_PWREN;  J14.150
P0MDIC_N;  U35.109
P04;  RN4.8 U39.8
N70312970;  C618.1 U70.6
N70143422;  U66.8 C553.1
P0MDID_N;  U35.111
P00;  RN3.8 U39.4
N70312972;  C606.2 U70.8
N70143461;  R277.1 R280.2 U66.5
CHG_I2C2_SDA;  J14.100
P02;  RN3.6 U39.6
N70312606;  U70.1 R290.2
CHG_CPU_XTALIN;  J14.37
N75652363;  RN4.1 J22.11
N70143478;  U66.7 R275.2
N70312604;  C599.1 R288.1
N75652232;  C361.1 C362.1 FB46.1 J22.15
N70143424;  U66.3 C551.1 L7.1
CHF_7441_HSYNC;  U11.17 U29.T14
N75652371;  RN3.4 J22.10
N75652185;  R179.1 U39.21
CHG_VO_Y4;  J14.184
N75652367;  RN4.2 J22.12
CHG_GP0_5;  J14.59
N75652383;  RN3.2 J22.8
N75652381;  RN3.1 J22.7
CHF_MIPI1/VI_Y6;  J11.135 U29.G5
N75585094;  U60.4 U60.7
N60704092;  FB26.2 C309.2 U29.N4
CHF_MIPI0/VI_C6;  U29.G1 J11.125
CHG_VO_C6;  J14.51
N75585096;  U60.5 U60.6
CHF_MIPI0/VI_C7;  U29.K5 J11.123
N60704098;  FB27.2 C308.2 U29.D13
P7LED1;  U35.69
SWITCH_I2C_SCL;  U35.100 R192.2
CHF_MIPI1/VI_Y3;  U29.L4 J11.118
SWITCH_I2C_SDA;  U35.101 R193.2
P3LED1;  U35.82
N65539699;  C506.1 R244.2
CHF_VO_Y0;  J11.132
CHF_LAN_TX2+;  J11.179 R323.1 C652.2
P1MDID_P;  U35.120 C647.1 R312.1
CHF_SPI0/GP8_3;  J11.39
CHF_LAN_TX3-;  J11.171 R324.2 C646.2
CHG_VI_Y4;  J14.27
P4MDIC_N;  U35.31
CHF_USB_DM;  J11.155
CHF_LAN_TX2-;  J11.177 R323.2 C650.2
N68339393;  C349.1 J14.3 FB30.1 J14.1,
     J14.5 J14.6 J14.2 C348.2,
     J14.4
CHG_VI_Y7;  J14.42
P7LED0;  U35.68
CHF_VO_Y6;  J11.69
CHF_LAN_TX3+;  J11.173 R324.1 C648.2
N68339389;  J14.11 J14.12 J14.15 J14.16,
     C358.1 J14.13 C355.1 FB29.1,
     J14.14
N65424016;  R240.2 R243.2 R244.1 C508.2
CHF_VO_C3;  J11.130
CHG_VO_C1;  J14.54
P4MDIC_P;  U35.30
CHF_SD0/GP2_0/I2S_MCLK;  J11.174
CHG_VO_C2;  J14.105
P7MDIC_P;  U35.60
CHF_VI_C2;  R117.2 J11.28 R4.1
CHG_VI_HSYNC;  J14.40
P5MDIA_N;  U35.36 C658.1 R317.2
CHF_SD0/GP2_3/I2S_D_TX;  J11.172
CHG_LAN_TX3+;  J14.173 R332.1 C663.2
CHG_VI_C4;  J14.22 R162.2
N70143466;  R277.2 L7.2 C564.2 C562.1,
     C561.1 C563.1 FB60.1 FB61.1
CHF_UART1_TXD;  J11.149
CHG_LAN_TX3-;  J14.171 R332.2 C661.2
P6LED1;  U35.72
CHF_MIPI0/VI_HSYNC;  J11.113
CHG_LAN_TX2+;  J14.179 R331.1 C667.2
CHF_MIPI0/VI_C4;  U29.B3 J11.112
CHG_LAN_TX2-;  J14.177 R331.2 C665.2
$END
